,county,state,total_percentage16,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,votes16_Donald_Trump,votes16_Hillary_Clinton, total_percentage20 ,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,lat,long,cases,deaths,percentage_deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomePerCap,Poverty,Professional,Service,Office,Construction,Production,SelfEmployed,FamilyWork,Unemployment,Total_Mail_Ballots_Returned20,Mail_Ballots_Returned_Trump20,Mail_Ballots_Returned_Biden20
1,Apache,AZ,0.90,28.50,65.40,18659,5315,12196, 1.02 ,32.70,66.10,34397,11240,22730,35.39465006,-109.4892383,4003,171,6.53,71602,35355,36247,6.1,18.5,0.5,72.8,0.3,0.1,50359,32360,13865,35.9,29.7,25.4,20.6,11.5,12.8,4.4,0.1,14.1,18777.37,9339.48,9437.89
2,Cochise,AZ,2.09,58.00,35.40,43147,25036,15291, 1.71 ,58.20,39.90,57672,33580,22997,31.87934684,-109.7516088,2205,75,2.86,126516,64094,62422,35,55.7,3.6,0.9,1.8,0.4,92064,47847,24896,18.1,34.4,24.3,24.1,10.1,7.2,6.1,0.4,7.6,31483.22,15659.11,15824.11
3,Coconino,AZ,2.18,36.90,56.30,44929,16573,25308, 2.17 ,37.00,61.00,73174,27043,44609,35.83883429,-111.7707178,5405,149,5.69,138639,68264,70375,13.9,54.3,1.2,25.8,1.8,0.1,105097,53523,25722,21,36.5,22.7,22.5,8.4,9.9,4.7,0.2,8.3,39945.78,19868.21,20077.57
4,Gila,AZ,1.04,63.90,31.50,21398,13672,6746, 0.82 ,66.40,32.30,27662,18377,8943,33.80190085,-110.8132779,1989,72,2.75,53145,26284,26861,18.6,62.8,0.4,15.6,0.9,0,41292,41179,22433,21.9,31.6,22.8,21.4,15.3,8.9,5.7,0.2,11.7,15100.72,7510.79,7589.93
5,Graham,AZ,0.58,67.20,27.60,11939,8025,3301, 0.45 ,71.70,26.90,14993,10747,4034,32.93166885,-109.8882178,1281,29,1.11,37700,20233,17467,32.5,51.2,1.8,12.6,0.7,0.2,26382,48173,17874,21.4,28.3,21.1,23.7,15.7,11.3,3.9,0.2,12.2,8184.70,4070.90,4113.80
6,Greenlee,AZ,0.16,58.30,33.70,3243,1892,1092, 0.11 ,66.00,32.10,3685,2433,1182,33.21498827,-109.2405279,104,1,0.04,9368,4997,4371,46.4,47.6,2,3.6,0.4,0,6499,56298,24935,11.5,24,16.4,14,28.5,17.1,4,0.2,7.6,2011.65,1000.55,1011.09
7,La Paz,AZ,0.24,68.60,26.70,4931,3381,1318, 0.22 ,68.80,30.00,7458,5129,2236,33.72854224,-113.9810029,628,17,0.65,20477,10530,9947,26.3,58.7,0.8,11.1,0.8,0.2,15702,36479,21707,19.7,26.4,26.8,18.4,18.2,10.1,6.7,0,9.5,4071.33,2025.00,2046.33
8,Maricopa,AZ,58.27,49.10,45.70,1201934,590465,549040, 61.29 ,48.20,50.30,2063663,993691,1038364,33.34835867,-112.4918154,159781,3606,137.63,4155501,2055464,2100037,30.6,56.3,5.1,1.5,3.9,0.2,2778337,58580,30186,15.7,37.4,18.1,26.7,8.4,9.5,5.9,0.1,6,1126556.27,560325.94,566230.33
9,Mohave,AZ,3.60,73.70,22.20,74189,54656,16485, 3.11 ,75.00,23.70,104667,78534,24831,35.70471703,-113.7577902,4453,234,8.93,204691,103175,101516,15.9,78,1,2.1,1.2,0.1,160544,41567,23527,18.6,24.3,25.4,26.8,10.9,12.7,7.1,0.2,10.1,57137.85,28419.19,28718.66
10,Navajo,AZ,1.72,51.30,43.40,35409,18165,15362, 1.54 ,53.40,45.20,51767,27657,23383,35.3997715,-110.3218983,6538,241,9.20,107902,54037,53865,11.2,41.6,0.7,43.2,0.6,0.1,76593,38798,17685,29.1,29.3,24.7,22.8,11.7,11.5,5.8,0.2,16.3,28259.67,14055.78,14203.89
11,Pima,AZ,17.49,40.80,54.20,360762,147019,195649, 15.18 ,39.70,58.80,511127,202928,300743,32.0971334,-111.7890033,28824,641,24.47,1007257,495714,511543,36.6,52.6,3.2,2.4,2.6,0.1,726019,48676,27323,18.3,36.4,21.5,24.9,8.7,8.5,6.5,0.2,8.4,279024.88,138781.24,140243.64
12,Pinal,AZ,4.55,57.40,38.10,93805,53857,35737, 5.51 ,57.70,40.50,185398,106966,75093,32.90525627,-111.3449483,12174,228,8.70,405537,211665,193872,29.6,57.4,4.3,4.3,1.6,0.3,286075,52628,22944,15.5,29.4,22.8,25.5,10.5,11.8,5.7,0.2,7.8,101209.01,50339.28,50869.73
13,Santa Cruz,AZ,0.72,24.50,71.60,14926,3650,10684, 0.58 ,31.70,67.20,19556,6194,13138,31.52508998,-110.8479088,3065,65,2.48,46358,22229,24129,83.4,15,0.3,0.2,0.8,0,27410,39630,19482,21.8,25.6,20.8,29.7,10.9,13,8.9,0.2,8.7,10675.65,5309.85,5365.80
14,Yavapai,AZ,4.50,63.40,32.00,92780,58862,29705, 4.25 ,63.90,34.60,143221,91527,49602,34.59933926,-112.5538588,3029,91,3.47,220972,108100,112872,14.3,80.9,0.5,1.5,0.9,0,176240,48259,27504,14.7,31.9,22.7,24.5,11.1,9.8,9.3,0.1,7.3,78184.53,38887.38,39297.15
15,Yuma,AZ,1.98,50.50,45.00,40759,20586,18336, 2.03 ,52.30,46.10,68427,35766,31562,32.76895712,-113.9066674,13994,358,13.66,204281,104914,99367,62.9,31.8,1.8,0.9,1.1,0.1,121564,43253,20600,19.7,24.9,23,22.8,17.4,12,4.6,0.2,10.9,37354.39,18579.30,18775.08
16,Appling,GA,0.17,78.40,20.50,7003,5492,1434, 0.17 ,78.20,21.30,8341,6526,1779,31.74847232,-82.28909114,1179,38,1.45,18471,9090,9381,9.7,69.6,17.9,0.6,0.8,0,13387,37089,19936,24.7,26,13.9,18.7,22.8,18.6,4.9,0.2,7.7,1364.48,90.90,1273.57
